SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
هذا درس <b>عربي</b>;هَذَا دَرْسٌ <b>عَرَبِيٌّ</b>;C'est un cours d'arabe.;;عربي;عَرَبِيٌّ;arabe;;;100;F2K;"adjectif;"
لقد <b>أنهيت</b> العمل في أقل من ساعة;لِقَدٌّ <b>أَنْهَيْتُ</b> الْعَمَلَ فِي أَقَلِّ مِن سَاعَةِ;J'ai terminé ce travail en moins d'une heure.;;أنهيت;أَنْهَيْتُ;terminé;;;101;F2K;
<b>تماما</b>ً !;<b>تَمَامًا</b>;Exactement !;;تماماً;تَمَامَا;exactement;;;102;F2K;
<b>قمت</b> بتوجيه تركيزي على الموضوع;<b>قُمْتُ</b> بِتَوْجِيهِ تَرْكِيزِي عَلَى الْمَوْضُوعِ;J'ai concentré mon attention sur le sujet.;;قمت;قُمْتُ;concentré;;;103;F2K;
<b>وجهت</b> تركيزي على الموضوع;<b>وَجَّهَتْ</b> تَرْكِيزِيٌّ عَلَى الْمَوْضُوعِ;J'ai concentré mon attention sur le sujet.;;وجهت;وَجَّهَتْ;concentré;;;104;F2K;
قد <b>يكون</b> أو لا يكون صحيحًا;قَد <b>يَكْوُنَّ</b> أَو لَا يُكَوِّنُ صَحِيحًا;Cela peut être ou ne pas être vrai.;;يكون;يَكْوُنَّ;vrai;;;105;F2K;
<b>قدم</b> لي بعض النصائح;<b>قَدَمٌ</b> لِي بَعْضِ النَّصَائِحِ;Donne-moi quelques conseils.;;قدم;قَدَّمَ;Donne-moi;;;106;F2K;
<b>حسن</b> !;<b>حُسْنٌ</b>;Parfait !;;حسن;حُسْنٌ;Parfait;;;107;F2K;
<b>حيوانات</b> الباندا الضخمة تعيش في الصين فقط;<b>حَيَوَانَاتُ</b> الْبَانْدَا الضَّخْمَةَ تُعَيِّشُ فِي اِلْصِيَنَّ فَقَط;Les pandas géants vivent seulement en Chine.;;حيوانات;حَيَوَانَاتٌ;pandas;;;108;F2K;
لديّ <b>حساسيّة</b> من الحليب;لُدِّيُّ <b>حَسَاسِيَّةٍ</b> مِن الْحَلِيبِ;Je suis allergique au lait.;;حساسيّة;حَسَّاسِيَّةٌ;allergique;;;109;F2K;
<b>آسف</b>;<b>آسِفٌ</b>;Désolé.;;آسف;آسِفٌ;désolé;;;110;F2K;
<b>حان</b> الوقت للذهاب إلى المدرسة;<b>حَانَ</b> الْوَقْتُ لِلذَّهَابَ إِلَى الْمَدْرَسَةِ;C'est l'heure d'aller à l'école.;;حان;حَانَ;c'est;;;111;F2K;
<b>إني</b> في المنزل;<b>إنْي</b> فِي الْمَنْزِلِ;Je suis à la maison.;;إني;إنْي;que je;;;112;F2K;
إن قمت <b>بخطئ</b> آخر، فستفشل;إِن قُمْتُ <b>بخطِئ</b> آخِرَ ، فَسَتَفْشَلُ;Une seule erreur, et vous avez échoué.;;بخطئ;بخطِئ;échoué;;;113;F2K;
<b>حذاري</b> !;<b>حَذَارِيٌّ</b>;Attention !;;حذاري;حَذَارِيٌّ;Attention;;;114;F2K;
<b>يتكلم</b> بسرعة;<b>يَتَكَلَّمُ</b> بِسُرْعَةٍ;Il parle vite.;;يتكلم;يَتَكَلَّمُ;parle;;;115;F2K;
أسكُن <b>عند</b> عمي;أَسْكُنُ <b>عِنْد</b> عَمِّيٍّ;Je loge chez mon oncle.;;عند;عِنْد;je;;;116;F2K;
<b>أشكرك</b> على مساعدتك;<b>أَشَكَرَكَ</b> عَلَى مُسَاعَدَتِكَ;Je vous remercie de votre aide.;;أشكرك;أَشَكَرَكَ;remercie;;;117;F2K;
هل <b>عندكم</b> غرفة؟;هَل <b>عِنْدكُمْ</b> غُرْفَةً ؟;Est-ce que vous avez des chambres de libre ?;;عندكم;عِنْدكُمْ;avez;;;118;F2K;
<b>تطلب</b> إقناعه ألف ين فقط;<b>تَطْلُبُ</b> إقْنَاعُهُ أَلَّفَ يِنٌ فَقَط;Il a fallu seulement 1000 yen pour le convaincre.;;تطلب;تَطْلُبُ;convaincre;;;119;F2K;
<b>سأعمل</b> بنصيحتك;<b>سَأَعْمَلُ</b> بِنَصِيحَتِكَ;Je vais suivre votre conseil.;;سأعمل;سَأَعْمَلُ;conseil;;;120;F2K;
هل <b>تلسع</b> هذه الحشرات؟;هَل <b>تَلْسَعُ</b> هَذِه الْحَشَرَاتِ ؟;Ces insectes piquent-ils ?;;تلسع;تَلْسَعُ;insectes;;;121;F2K;
كم <b>كتابا</b>ً لديه؟;كَمَّ <b>كِتَابَا</b> لَدَيْهُ ؟;Combien de livres possède-t-il ?;;كتاباً;كِتَابَا;possède-t-il;;;122;F2K;
<b>قالت</b> أنها ستأتي;<b>قَالَتْ</b> أَنّهَا سَتَأْتِي;Elle dit qu'elle viendra.;;قالت;قَالَتْ;dit;;;123;F2K;
هي <b>سعيدة</b>;هِي <b>سَعِيدَةٍ</b>;Elle est heureuse.;;سعيدة;سَعِيدَةٌ;heureuse;;;124;F2K;
<b>فقدت</b> أعصابها;<b>فَقُدْتُ</b> أَعْصَابَهَا;Elle s'est mise en colère.;;فقدت;فَقُدْتُ;colère;;;125;F2K;
لا أعلم أين <b>يسكن</b>;لَا أَعَلِمَ أَيْنَ <b>يُسَكِّنُ</b>;Je ne sais pas où il habite.;;يسكن;يُسَكِّنُ;habite;;;126;F2K;
كنت أعلم <b>منذ</b> البداية أنّه كان يكذب;كَنَّتْ أعْلَمُ <b>مُنْذ</b> الْبِدَايَةِ أنّه كَان يَكْذِبُ;Je savais depuis le début qu'il disait un mensonge.;;منذ;مُنْذ;depuis;;;127;F2K;
طلبت <b>النجدة</b>;طَلَبَتْ <b>النَّجْدَةُ</b>;J'ai appelé à l'aide.;;النجدة;النَّجْدَةُ;j'ai;;;128;F2K;
